,code
1704,600126
1705,600125
1706,600123
1707,600122
1708,600121
1709,600120
1710,600119
1711,600118
1712,600117
1713,600116
1714,600115
1715,600114
1716,600113
1717,600112
1718,600111
1719,600110
1720,600109
1721,600108
1722,600107
1723,600106
1724,600105
1725,600104
1726,600103
1727,600101
1728,600100
1729,600099
1730,600098
1731,600097
1732,600096
1733,600095
1734,600094
1735,600093
1736,600091
1737,600090
1738,600089
1739,600088
1740,600086
1741,600085
1742,600084
1743,600083
1744,600082
1745,600081
1746,600080
1747,600079
1748,600078
1749,600077
1750,600076
1751,600075
1752,600073
1753,600072
1754,600071
1755,600070
1756,600068
1757,600067
1758,600066
1759,600064
1760,600063
1761,600062
1762,600061
1763,600060
1764,600059
1765,600058
1766,600057
1767,600056
1768,600055
1769,600054
1770,600053
1771,600052
1772,600051
1773,600050
1774,600048
1775,600039
1776,600038
1777,600037
1778,600036
1779,600035
1780,600033
1781,600031
1782,600030
1783,600029
1784,600028
1785,600027
1786,600026
1787,600025
1788,600023
1789,600022
1790,600021
1791,600020
1792,600019
1793,600018
1794,600017
1795,600016
1796,600015
1797,600012
1798,600011
1799,600010
1800,600009
1801,600008
1802,600007
1803,600006
1804,600004
1805,600000
1806,300999
1807,300939
1808,300938
1809,300937
1810,300936
1811,300935
1812,300933
1813,300932
1814,300931
1815,300930
1816,300929
1817,300928
1818,300927
1819,300926
1820,300925
1821,300923
1822,300922
1823,300921
1824,300920
1825,300919
1826,300918
1827,300917
1828,300916
1829,300915
1830,300913
1831,300912
1832,300911
1833,300910
1834,300909
1835,300908
1836,300907
1837,300906
1838,300905
1839,300903
1840,300902
1841,300901
1842,300900
1843,300899
1844,300898
1845,300897
1846,300896
1847,300895
1848,300894
1849,300893
1850,300892
1851,300891
1852,300890
1853,300889
1854,300888
1855,300887
1856,300886
1857,300885
1858,300884
1859,300883
1860,300882
1861,300881
1862,300880
1863,300879
1864,300878
1865,300877
1866,300876
1867,300875
1868,300873
1869,300872
1870,300871
1871,300870
1872,300869
1873,300868
1874,300867
1875,300866
1876,300865
1877,300864
1878,300863
1879,300862
1880,300861
1881,300860
1882,300859
1883,300858
1884,300857
1885,300856
1886,300855
1887,300853
1888,300852
1889,300851
1890,300850
1891,300849
1892,300848
1893,300847
1894,300846
1895,300845
1896,300843
1897,300842
1898,300841
1899,300840
1900,300839
1901,300838
1902,300837
1903,300836
1904,300835
1905,300833
1906,300832
1907,300831
1908,300830
1909,300829
1910,300828
1911,300827
1912,300826
1913,300825
1914,300824
1915,300823
1916,300822
1917,300821
1918,300820
1919,300819
1920,300818
1921,300817
1922,300816
1923,300815
1924,300813
1925,300812
1926,300811
1927,300810
1928,300809
1929,300808
1930,300807
1931,300806
1932,300805
1933,300803
1934,300802
1935,300801
1936,300800
1937,300799
1938,300798
1939,300797
1940,300796
1941,300795
1942,300793
1943,300792
1944,300791
1945,300790
1946,300789
1947,300788
1948,300787
1949,300786
1950,300785
1951,300783
1952,300782
1953,300781
1954,300780
1955,300779
1956,300778
1957,300777
1958,300776
1959,300775
1960,300773
1961,300772
1962,300771
1963,300770
1964,300769
1965,300768
1966,300767
1967,300766
1968,300765
1969,300763
1970,300762
1971,300761
1972,300760
1973,300759
1974,300758
1975,300757
1976,300756
1977,300755
1978,300753
1979,300752
1980,300751
1981,300750
1982,300749
1983,300748
1984,300747
1985,300746
1986,300745
1987,300743
1988,300742
1989,300741
1990,300740
1991,300739
1992,300738
1993,300737
1994,300736
1995,300735
1996,300733
1997,300732
1998,300731
1999,300730
2000,300729
2001,300727
2002,300726
2003,300725
2004,300724
2005,300723
2006,300722
2007,300721
2008,300720
2009,300719
2010,300718
2011,300717
2012,300716
2013,300715
2014,300713
2015,300712
2016,300711
2017,300710
2018,300709
2019,300708
2020,300707
2021,300706
2022,300705
2023,300703
2024,300702
2025,300701
2026,300700
2027,300699
2028,300698
2029,300697
2030,300696
2031,300695
2032,300694
2033,300693
2034,300692
2035,300691
2036,300690
2037,300689
2038,300688
2039,300687
2040,300686
2041,300685
2042,300684
2043,300683
2044,300682
2045,300681
2046,300680
2047,300679
2048,300678
2049,300677
2050,300676
2051,300675
2052,300674
2053,300673
2054,300672
2055,300671
2056,300670
2057,300669
2058,300668
2059,300667
2060,300666
2061,300665
2062,300664
2063,300663
2064,300662
2065,300661
2066,300660
2067,300659
2068,300658
2069,300657
2070,300656
2071,300655
2072,300654
2073,300653
2074,300652
2075,300651
2076,300650
2077,300649
2078,300648
2079,300647
2080,300645
2081,300644
2082,300643
2083,300642
2084,300641
2085,300640
2086,300639
2087,300638
2088,300637
2089,300636
2090,300635
2091,300634
2092,300633
2093,300632
2094,300631
2095,300630
2096,300629
2097,300628
2098,300627
2099,300626
2100,300625
2101,300624
2102,300623
2103,300622
2104,300621
2105,300620
2106,300619
2107,300618
2108,300617
2109,300616
2110,300615
2111,300613
2112,300612
2113,300611
2114,300610
2115,300609
2116,300608
2117,300607
2118,300606
2119,300605
2120,300604
2121,300603
2122,300602
2123,300601
2124,300600
2125,300599
2126,300598
2127,300597
2128,300596
2129,300595
2130,300594
2131,300593
2132,300592
2133,300591
2134,300590
2135,300589
2136,300588
2137,300587
2138,300586
2139,300585
2140,300584
2141,300583
2142,300582
2143,300581
2144,300580
2145,300579
2146,300578
2147,300577
2148,300576
2149,300575
2150,300573
2151,300572
2152,300571
2153,300570
2154,300569
2155,300568
2156,300567
2157,300566
2158,300565
2159,300564
2160,300563
2161,300562
2162,300561
2163,300560
2164,300559
2165,300558
2166,300557
2167,300556
2168,300555
2169,300554
2170,300553
2171,300552
2172,300551
2173,300550
2174,300549
2175,300548
2176,300547
2177,300546
2178,300545
2179,300543
2180,300542
2181,300541
2182,300540
2183,300539
2184,300538
2185,300537
2186,300536
2187,300535
2188,300534
2189,300533
2190,300532
2191,300531
2192,300530
2193,300529
2194,300528
2195,300527
2196,300526
2197,300525
2198,300523
2199,300522
2200,300521
2201,300520
2202,300519
2203,300518
2204,300517
2205,300516
2206,300515
2207,300514
2208,300513
2209,300512
2210,300511
2211,300510
2212,300509
2213,300508
2214,300507
2215,300506
2216,300505
2217,300504
2218,300503
2219,300502
2220,300501
2221,300500
2222,300499
2223,300498
2224,300497
2225,300496
2226,300495
2227,300494
2228,300493
2229,300492
2230,300491
2231,300490
2232,300489
2233,300488
2234,300487
2235,300486
2236,300485
2237,300484
2238,300483
2239,300482
2240,300481
2241,300480
2242,300479
2243,300478
2244,300477
2245,300476
2246,300475
2247,300474
2248,300473
2249,300472
2250,300471
2251,300470
2252,300469
2253,300468
2254,300467
2255,300466
2256,300465
2257,300464
2258,300463
2259,300462
2260,300461
2261,300460
2262,300459
2263,300458
2264,300457
2265,300456
2266,300455
2267,300454
2268,300453
2269,300452
2270,300451
2271,300450
2272,300449
2273,300448
2274,300447
2275,300446
2276,300445
2277,300444
2278,300443
2279,300442
2280,300441
2281,300440
2282,300439
2283,300438
2284,300437
2285,300436
2286,300435
2287,300434
2288,300433
2289,300432
2290,300430
2291,300429
2292,300428
2293,300427
2294,300426
2295,300425
2296,300424
2297,300423
2298,300422
2299,300421
2300,300420
2301,300419
2302,300418
2303,300417
2304,300416
2305,300415
2306,300414
2307,300413
2308,300412
2309,300411
2310,300410
2311,300409
2312,300408
2313,300407
2314,300406
2315,300405
2316,300404
2317,300403
2318,300402
2319,300401
2320,300400
2321,300399
2322,300398
2323,300397
2324,300396
2325,300395
2326,300394
2327,300393
2328,300392
2329,300391
2330,300390
2331,300389
2332,300388
2333,300387
2334,300386
2335,300385
2336,300384
2337,300383
2338,300382
2339,300381
2340,300380
2341,300379
2342,300378
2343,300377
2344,300376
2345,300375
2346,300374
2347,300373
2348,300371
2349,300370
2350,300369
2351,300368
2352,300367
2353,300366
2354,300365
2355,300364
2356,300363
2357,300362
2358,300360
2359,300359
2360,300358
2361,300357
2362,300356
2363,300355
2364,300354
2365,300353
2366,300352
2367,300351
2368,300350
